matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
Oberwolfach/gyro,17361,1021159,cg,1e-12,34722,ones,dd,none,,CG (DD),0.0,1,17838.0,9.188149e-13,9.188149e-13,1.764598e-10,7.132847e-12,942.252,reached_tol,3487732786.23306
Oberwolfach/gyro_k,17361,1021159,cg,1e-12,34722,ones,dd,none,,CG (DD),0.0,1,17838.0,9.188149e-13,9.188149e-13,1.764598e-10,7.132847e-12,942.995,reached_tol,4437059289.93895
Oberwolfach/gyro_m,17361,340431,cg,1e-12,34722,ones,dd,none,,CG (DD),0.0,1,7469.0,8.888044e-13,8.888044e-13,7.617908e-09,3.826461e-11,150.438,reached_tol,11239593.4318719
GHS_psdef/jnlbrng1,40000,199200,cg,1e-12,80000,ones,dd,none,,CG (DD),0.0,1,185.0,9.148614e-13,9.148614e-13,1.802899e-13,2.532478e-13,3.415,reached_tol,187.156447606324
HB/lund_a,147,2449,cg,1e-12,294,ones,dd,none,,CG (DD),0.0,1,275.0,4.251096e-13,4.251096e-13,9.960722e-13,7.179233e-13,0.041,reached_tol,5442963.43505828
HB/lund_b,147,2441,cg,1e-12,294,ones,dd,none,,CG (DD),0.0,0,294.0,1.45054e-08,1.45054e-08,4.511406e-06,9.941526e-08,0.044,max_iterations,60317.4724966787
Pothen/mesh1e1,48,306,cg,1e-12,96,ones,dd,none,,CG (DD),0.0,1,25.0,7.941385e-13,7.941385e-13,2.434068e-12,1.348689e-12,0.0,reached_tol,7.24766700838052
Pothen/mesh1em1,48,306,cg,1e-12,96,ones,dd,none,,CG (DD),0.0,1,39.0,3.116398e-13,3.116398e-13,1.420446e-12,7.079446e-13,0.001,reached_tol,34.0191489906441
Pothen/mesh1em6,48,306,cg,1e-12,96,ones,dd,none,,CG (DD),0.0,1,26.0,7.529565e-13,7.529565e-13,1.802153e-12,1.117545e-12,0.0,reached_tol,9.30262784554748
Pothen/mesh2e1,306,2018,cg,1e-12,612,ones,dd,none,,CG (DD),0.0,1,116.0,5.409194e-13,5.409194e-13,1.361615e-11,2.863832e-12,0.019,reached_tol,424.327711284332
Pothen/mesh2em5,306,2018,cg,1e-12,612,ones,dd,none,,CG (DD),0.0,1,84.0,8.63554e-13,8.63554e-13,1.380201e-11,4.583303e-12,0.014,reached_tol,292.648843464098
Pothen/mesh3e1,289,1889,cg,1e-12,578,ones,dd,none,,CG (DD),0.0,1,30.0,8.927558e-13,8.927558e-13,2.090957e-12,1.322357e-12,0.006,reached_tol,9.00000000000001
Pothen/mesh3em5,289,1889,cg,1e-12,578,ones,dd,none,,CG (DD),0.0,1,20.0,6.141839e-14,6.141839e-14,8.410885e-14,7.154142e-14,0.003,reached_tol,5.00000400000001
Bai/mhd3200b,3200,18316,cg,1e-12,6400,ones,dd,none,,CG (DD),0.0,0,6400.0,1.298576e-07,1.298576e-07,0.1372829,1.549455e-05,10.079,max_iterations,20164948292524.4
Bai/mhd4800b,4800,27520,cg,1e-12,9600,ones,dd,none,,CG (DD),0.0,0,9600.0,2.90812e-08,2.90812e-08,0.1560386,1.332149e-05,22.942,max_iterations,102742223493983.0
Bai/mhdb416,416,2312,cg,1e-12,832,ones,dd,none,,CG (DD),0.0,0,832.0,1.253311e-07,1.253311e-07,0.06541223,2.237214e-05,0.168,max_iterations,5051840591.10193
GHS_psdef/minsurfo,40806,203622,cg,1e-12,81612,ones,dd,none,,CG (DD),0.0,1,116.0,8.669678e-13,8.669678e-13,2.168061e-13,3.000466e-13,2.219,reached_tol,81.109105696583
Boeing/msc00726,726,34518,cg,1e-12,1452,ones,dd,none,,CG (DD),0.0,1,1161.0,7.724398e-13,7.724398e-13,2.761862e-10,2.763922e-11,2.093,reached_tol,1250063.59816533
Boeing/msc01050,1050,29156,cg,1e-12,2100,ones,dd,none,,CG (DD),0.0,0,2100.0,9.582582e-06,9.582582e-06,0.5104987,9.36138e-05,3.411,max_iterations,8999511679820590.0
Boeing/msc01440,1440,46270,cg,1e-12,2880,ones,dd,none,,CG (DD),0.0,0,2880.0,1.587216e-08,1.587216e-08,2.565924e-05,1.181786e-07,7.252,max_iterations,7001447.26464525
Boeing/msc04515,4515,97707,cg,1e-12,9030,ones,dd,none,,CG (DD),0.0,1,5002.0,8.992344e-13,8.992344e-13,1.87796e-11,1.812494e-12,28.246,reached_tol,5482719.06197289
Boeing/msc10848,10848,1229778,cg,1e-12,21696,ones,dd,none,,CG (DD),0.0,0,21696.0,4.302828e-10,4.302828e-10,0.001199042,4.917418e-07,1256.573,max_iterations,32873379211.5967
Boeing/msc23052,23052,1154814,cg,1e-12,46104,ones,dd,none,,CG (DD),0.0,0,46104.0,1.707906e-07,1.707906e-07,0.1072594,2.33162e-05,2549.237,max_iterations,1395293246641.22
Nasa/nasa1824,1824,39208,cg,1e-12,3648,ones,dd,none,,CG (DD),0.0,0,3648.0,2.132163e-07,2.132163e-07,3.001926e-05,1.046631e-06,7.596,max_iterations,6626362.28905092
Nasa/nasa2146,2146,72250,cg,1e-12,4292,ones,dd,none,,CG (DD),0.0,1,462.0,9.106179e-13,9.106179e-13,5.709028e-12,2.372063e-12,1.704,reached_tol,3841.29080380982
Nasa/nasa2910,2910,174296,cg,1e-12,5820,ones,dd,none,,CG (DD),0.0,0,5820.0,4.392432e-08,4.392432e-08,3.77174e-06,1.933094e-07,47.976,max_iterations,17649962.4795213
Nasa/nasa4704,4704,104756,cg,1e-12,9408,ones,dd,none,,CG (DD),0.0,0,9408.0,1.064754e-06,1.064754e-06,0.0006816178,1.503109e-05,52.07,max_iterations,123942245.516897
