matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
Boeing/msc04515,4515,97707,cg,1e-12,9030,ones,dd,none,,CG (DD),0.0,1,5002.0,8.992344e-13,8.992344e-13,1.87796e-11,1.812494e-12,28.246,reached_tol,5482719.06197289
Boeing/msc10848,10848,1229778,cg,1e-12,21696,ones,dd,none,,CG (DD),0.0,0,21696.0,4.302828e-10,4.302828e-10,0.001199042,4.917418e-07,1256.573,max_iterations,32873379211.5967
Boeing/msc23052,23052,1154814,cg,1e-12,46104,ones,dd,none,,CG (DD),0.0,0,46104.0,1.707906e-07,1.707906e-07,0.1072594,2.33162e-05,2549.237,max_iterations,1395293246641.22
Nasa/nasa1824,1824,39208,cg,1e-12,3648,ones,dd,none,,CG (DD),0.0,0,3648.0,2.132163e-07,2.132163e-07,3.001926e-05,1.046631e-06,7.596,max_iterations,6626362.28905092
Nasa/nasa2910,2910,174296,cg,1e-12,5820,ones,dd,none,,CG (DD),0.0,0,5820.0,4.392432e-08,4.392432e-08,3.77174e-06,1.933094e-07,47.976,max_iterations,17649962.4795213
Nasa/nasa4704,4704,104756,cg,1e-12,9408,ones,dd,none,,CG (DD),0.0,0,9408.0,1.064754e-06,1.064754e-06,0.0006816178,1.503109e-05,52.07,max_iterations,123942245.516897
ND/nd12k,36000,14220946,cg,1e-12,72000,ones,dd,none,,CG (DD),0.0,1,10600.0,9.865151e-13,9.865151e-13,1.329746e-15,1.805015e-14,7108.257,reached_tol,21797578.2699976
ND/nd3k,9000,3279690,cg,1e-12,18000,ones,dd,none,,CG (DD),0.0,1,7647.0,9.657365e-13,9.657365e-13,6.419908e-16,1.700846e-14,1198.818,reached_tol,61221699.5096589
ND/nd6k,18000,6897316,cg,1e-12,36000,ones,dd,none,,CG (DD),0.0,1,9520.0,9.224252e-13,9.224252e-13,1.090716e-15,1.922511e-14,2958.177,reached_tol,55532568.608661
HB/nos3,960,15844,cg,1e-12,1920,ones,dd,none,,CG (DD),0.0,1,299.0,7.487584e-13,7.487584e-13,2.849483e-13,7.586035e-13,0.271,reached_tol,73468.3184488625
HB/nos7,729,4617,cg,1e-12,1458,ones,dd,none,,CG (DD),0.0,0,1458.0,0.0005213117,0.0005213117,1.281373e-05,2.506753e-05,0.516,max_iterations,4054067751.28105
